,name,community_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff,gene_stabilities
0,Higd2a,1,610,281.74309238,0.44936674975535273,0.8855743088643033,0.7498639822006226
1,Ncbp2,1,365,160.96969294999985,0.04394144037847796,0.9893421646846304,0.730130672454834
2,Ncbp1,1,10,4.13496627,1.358846603828e-05,1.0,0.7189652323722839
3,Arl6ip1,1,59,24.511831590000003,0.000170527696704603,1.0,0.6925225257873535
4,Arl6ip4,1,158,66.98342535999998,0.0020770524539826135,1.0,0.6563637852668762
5,Nbdy,1,565,258.9528008500001,0.27190995932461737,0.9227201405887152,0.753545343875885
6,Naxe,1,238,102.20676507000007,0.006668951428381065,0.9971634223309577,
7,Naxd,1,99,41.44254782,0.0005906223451035777,0.9995877138734282,
8,Nasp,1,688,319.04663880000004,0.6609138181621574,0.7529873734809249,0.741632342338562
9,Nars,1,47,19.551613460000002,0.00023657777509183582,1.0,0.6033591628074646
10,Napa,1,210,89.78064970000003,0.0065092094650801525,0.9845978582820688,0.6676350831985474
11,Armcx2,1,58,24.02260141,0.0004150533279972698,0.9981851179673321,0.5357003808021545
12,Nap1l1,1,1384,690.2590103100006,7.1747709720129595,0.4397734254510802,0.6520645022392273
13,Nans,1,2,0.80520189,1.01849058e-09,1.0,
14,Naip1,1,90,38.7838636,0.0037620413051969366,1.0,0.4734143316745758
15,Nae1,1,183,77.26666351000004,0.0022233028513491625,0.9980784243079326,0.7311795949935913
16,Arpc2,1,1074,522.5750688699991,2.5769466557251746,0.6396344331231636,0.7319469451904297
17,Arpc3,1,539,248.52336286000002,0.3414711730382615,0.9187949596871531,0.7735297679901123
18,Arl2,1,298,129.05987944999995,0.01947202734603039,0.9663977583440672,0.9215932488441467
19,Arpc5,1,534,242.18018050999999,0.26239764414412114,0.8182150360829451,0.7649369239807129
20,Nckap5,1,812,388.7390321299992,1.6212610326663859,0.7677895683125497,0.7530512809753418
21,Arl1,1,200,89.37831208000007,0.03719453770333059,0.9879396984924623,0.6128261089324951
22,Ndufab1,1,1133,568.24484465,5.516968241730432,0.6133221473370363,0.6580389738082886
23,Ndufa9,1,182,77.78367356000003,0.005557808103049755,1.0,0.5564399361610413
24,Ndufa8,1,872,418.0520999700001,1.6674027530533884,0.7485912006656906,0.7935405373573303
25,Ndufa7,1,1497,790.0312734099997,21.309896847704437,0.42138108659386514,0.6249987483024597
26,Ndufa6,1,1298,682.7854638899992,16.922582287116995,0.5034980570309817,0.410765141248703
27,Ndufa5,1,1199,615.7418787199999,10.414018475892219,0.5406759389084671,0.744491696357727
28,Arhgef40,1,34,14.279101029999998,0.00023228347687590103,0.9928698752228164,0.5254676342010498
29,Ndufa4,1,1696,895.3791250199998,25.62017644819328,0.34290643958368117,0.6897267699241638
30,Ndufa3,1,1158,601.48323821,11.982035094939446,0.5813796922838083,0.45327818393707275
31,Ndufa2,1,1270,657.3689768099989,13.396660563895008,0.5186661950944076,0.600472092628479
32,Ndufa13,1,1149,594.6785822400011,10.847971372276442,0.5819421827191043,0.5903587937355042
33,Arid2,1,14,5.79889706,2.40067016942244e-05,1.0,0.5820279121398926
34,Ndufa12,1,1184,598.9367597700007,6.902783803648873,0.5659469169084553,0.7483508586883545
35,Ndufa11,1,1149,579.050323819999,6.5567809528073235,0.5761774365225935,0.6916149854660034
36,Ndufa10,1,245,105.64444453999995,0.009029089528512418,0.9988624958179994,0.622229278087616
37,Ndufa1,1,1028,504.06324248000016,4.184211763513522,0.5767582661145189,0.7670059204101562
38,Arih1,1,177,76.20183585,0.008685655153127612,0.9833076527991782,0.6838454604148865
39,Ncl,1,874,417.25546270999996,2.1591149994386116,0.5950941150875095,0.6803773045539856
40,Ndufaf2,1,181,77.15168822000005,0.004400186648626156,0.996500920810313,
41,Arpc5l,1,460,205.11528462000007,0.07646306567290426,0.9738846263142938,0.6939996480941772
42,Naca,1,1707,919.8315710899989,41.554412421909525,0.3353696351345504,0.6591159701347351
43,Asna1,1,43,17.707501439999998,3.852126129534591e-05,1.0,
44,Mum1,1,1,0.4047924,4.070094e-09,0.0,
45,Mtx2,1,576,263.25576386,0.32926228833937915,0.8583816425120773,0.7650155425071716
46,Mtx1,1,1,0.4009209,5.5491852e-12,0.0,
47,Mtfr1l,1,105,44.17946571000001,0.000834292755122608,0.9996336996336996,0.7972076535224915
48,Mtf2,1,4,1.64072864,6.083105705e-07,1.0,0.7299214005470276
49,Mtch2,1,664,305.0326800199997,0.37578253190579747,0.8839884424576133,0.8110765218734741
