source,target,PCC,Rescaled_PCC
A730017C20Rik,6330403K07Rik,0.4211119,0.00014325712
Acaa2,1500015O10Rik,0.38534948,8.747403e-06
Actb,1700020I14Rik,0.3822017,6.0236844e-06
Actb,2010107E04Rik,0.35477868,2.9213227e-09
Actb,2210016L21Rik,0.36099857,8.197713e-08
Adcy1,1700020I14Rik,0.43615,0.0003085803
Adcy1,6430548M08Rik,0.3556102,5.54957e-09
Ahi1,2210016L21Rik,0.38054073,4.873764e-06
Ahi1,2900011O08Rik,0.3565697,1.0435959e-08
Ahi1,6330403K07Rik,0.515991,0.0042528934
Ahi1,A730017C20Rik,0.35247496,2.1019476e-10
Ahi1,Acot7,0.37056044,1.0010976e-06
Aldh2,1500015O10Rik,0.37570044,2.444047e-06
Aldoa,2210016L21Rik,0.39044192,1.49856005e-05
Aldoa,Actb,0.44192827,0.00040007645
Aldoc,Abr,0.37209803,1.3358608e-06
Aldoc,Acsbg1,0.43723178,0.00032437372
Aldoc,Actb,0.39908355,3.2515538e-05
Aldoc,Ahcyl1,0.42341298,0.00016271898
Ank2,1700020I14Rik,0.41840234,0.00012263961
Ank2,Actb,0.46845803,0.0011030743
Ank2,Aldoc,0.38267228,6.383587e-06
Ank3,1700020I14Rik,0.35768116,1.9500876e-08
Ank3,Adcy1,0.3548672,3.1438512e-09
Anks1b,Aldoc,0.35793605,2.2221148e-08
Anp32a,Actb,0.37513512,2.235997e-06
Aplp2,Actb,0.36339948,1.8059208e-07
Apod,Anln,0.41629264,0.00010819521
Apod,Aplp1,0.4539844,0.00065496744
Apoe,Actb,0.5248343,0.005234232
Apoe,Ahcyl1,0.36187974,1.11577016e-07
Apoe,Aldoa,0.40164563,3.985486e-05
Apoe,Aldoc,0.45913586,0.0007947245
App,2210016L21Rik,0.41244298,8.516896e-05
App,6330403K07Rik,0.40831622,6.478948e-05
App,Aco2,0.35530552,4.4387565e-09
App,Acot7,0.3658206,3.5094385e-07
App,Actb,0.46905226,0.0011253747
App,Ahi1,0.411929,8.239928e-05
App,Aldoa,0.3653036,3.072716e-07
App,Aplp2,0.35390687,1.305164e-09
App,Apoe,0.4200134,0.00013460816
Aqp4,Actb,0.45841032,0.0007738009
Aqp4,Apoe,0.39478788,2.2541808e-05
Arhgap26,Aldoc,0.35434753,2.0013273e-09
Arhgap5,Actb,0.40786904,6.282492e-05
Arhgap5,Ahcyl1,0.3567069,1.133528e-08
Arhgap5,Aldoc,0.47816306,0.0015114653
Arhgap5,Ank2,0.3977057,2.9015371e-05
Arhgap5,Anks1b,0.3591378,3.9058452e-08
Arhgap5,Arhgap26,0.38136297,5.4202087e-06
Arl3,Aldoc,0.36484966,2.7240367e-07
Arl6ip1,1500015O10Rik,0.44429645,0.0004429229
Arl6ip1,6330403K07Rik,0.38646805,9.908256e-06
Arl6ip1,Ahi1,0.39086422,1.5621394e-05
Arl6ip1,Aldoa,0.37766853,3.2831551e-06
Arl6ip1,Apoe,0.43068874,0.0002374644
Arl6ip1,App,0.3991987,3.282175e-05
Arl6ip1,Arl3,0.3674536,5.1986166e-07
Asph,Arhgap5,0.39425665,2.1491222e-05
Atp1a1,1700020I14Rik,0.35851943,2.9511478e-08
Atp1a2,Actb,0.3846562,8.081095e-06
Atp1a2,Aldoc,0.40233666,4.2031104e-05
Atp1a2,Apoe,0.46948317,0.001141757
Atp1b1,0610007P14Rik,0.36360604,1.919879e-07
Atp1b1,1500009C09Rik,0.37092727,1.0744787e-06
Atp1b1,2010107E04Rik,0.37115043,1.1210483e-06
Atp1b1,2210016L21Rik,0.42206147,0.00015106343
Atp1b1,2900011O08Rik,0.4316076,0.00024846738
Atp1b1,6330403K07Rik,0.48883492,0.002081333
Atp1b1,Abat,0.40202144,4.102762e-05
Atp1b1,Abr,0.38127843,5.3619965e-06
Atp1b1,Aco2,0.44761774,0.0005087001
