name,community_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff
Park7,1,7,2.5571570099999996,9.1038494295e-06,1.0
Usmg5,1,1,0.3591642,3.9511868e-08,0.0
Vamp2,1,3,1.1363540799999998,2.2640765980000003e-05,1.0
Vapa,1,4,1.4740991,7.747792601999999e-06,1.0
Vapb,1,1,0.3561389,7.956366e-09,0.0
Vdac1,1,24,9.29952664,0.0018676090679970799,0.9347826086956522
Vdac2,1,8,2.87463611,1.2036811157958e-05,0.9642857142857143
Uqcrq,1,27,10.299511299999999,0.0005790557071079299,0.8774928774928774
Wasl,1,3,1.0760839899999999,2.401327741e-07,1.0
Arhgef9,1,5,1.8962677699999997,0.000152054180886,1.0
Ywhab,1,160,63.89769374000003,0.08958826177415247,0.3813679245283019
Ywhae,1,24,9.127379969999998,0.0014137644489482714,0.8913043478260869
Ywhag,1,28,10.483364119999997,0.0007235379205770553,0.9761904761904762
Arl3,1,21,7.889846090000002,0.000786825788615,0.9
Ywhaq,1,18,6.767917450000001,0.00035380273458791503,0.9738562091503269
Wbp5,1,7,2.5915698299999996,2.3479529843e-05,1.0
Uqcrfs1,1,5,1.7854651499999998,5.2506988939103e-07,1.0
Uqcrc2,1,26,9.975145900000001,0.0019947963618287276,0.9907692307692308
Uqcrc1,1,9,3.35716895,0.00010139885606444301,1.0
Tusc3,1,1,0.36021855,6.108091e-08,0.0
Ubb,1,208,83.21140765000003,0.09991155578385442,0.2833054626532887
Araf,1,1,0.3636193,1.9273753e-07,0.0
Ubc,1,11,4.14771778,9.11260517238e-05,0.9818181818181818
Ube2b,1,12,4.66352427,0.00044201462501755997,1.0
Arf1,1,4,1.4759922099999998,9.3724937287756e-06,1.0
Ube2k,1,5,1.86504918,2.2619278701000004e-05,1.0
Ubl3,1,6,2.22538058,7.318024904235244e-05,1.0
Ubl5,1,1,0.35883075,3.4067334e-08,0.0
Ubxn2a,1,6,2.19736209,1.42025871021013e-05,1.0
Ubxn4,1,21,8.074649640000002,0.0008218984886327695,0.9857142857142858
Uqcc2,1,1,0.3778322,3.3615327e-06,0.0
Uqcr10,1,24,9.121430580000002,0.0009599659062459262,0.9782608695652174
Uqcr11,1,40,15.553329640000003,0.004457988056775843,0.9423076923076923
Uqcrb,1,5,1.86557865,1.0908389830000001e-05,1.0
Arl6ip1,1,129,51.88822553000001,0.08066025193560335,0.373546511627907
Zc3h15,1,3,1.09978373,4.484409193138999e-06,1.0
Zcchc18,1,137,56.67055162999999,0.15697125056531602,0.4084370974667239
Mphosph8,1,1,0.35042417,1.813564e-13,0.0
Map2,1,40,15.803059290000002,0.004544620831778233,0.8551282051282052
Map1lc3b,1,1,0.36123183,8.915592e-08,0.0
Map1b,1,116,45.92140925,0.040099978705731704,0.5028485757121439
Map1a,1,3,1.08704,1.5939249922e-06,1.0
Maged1,1,10,3.89693832,0.0009491680372856002,1.0
Lztfl1,1,1,0.37799206,3.4394318e-06,0.0
Luzp1,1,1,0.38479146,8.208007e-06,0.0
Lsamp,1,27,10.471949520000003,0.003111405970905293,0.982905982905983
Lhfpl3,1,6,2.1990827299999998,5.2585803894730005e-05,1.0
Ldhb,1,159,63.98303901999999,0.09593627796591175,0.35443037974683544
Laptm4a,1,10,3.74129458,5.94527730914e-05,1.0
Ktn1,1,1,0.35571185,5.9628635e-09,0.0
Atp1a3,1,11,4.16390234,0.000152279426415,0.9818181818181818
Atp1b1,1,433,186.00152346000002,1.2138090318474155,0.09457060987084082
Atp2b2,1,31,12.2585838,0.005432182243446998,0.8086021505376344
Map7d2,1,124,50.61923705,0.11711377102022948,0.4661683713611329
Tubb4b,1,10,3.62468474,1.4877053860286999e-05,0.6222222222222222
Mapk10,1,6,2.17609977,3.3427445994999996e-06,1.0
Matr3,1,58,22.869866200000004,0.00826129097808127,0.8052026618269812
Zfp612,1,3,1.07264157,9.435831769255e-07,1.0
Zfr,1,13,4.862107440000001,0.00014083922249980002,1.0
Arpc2,1,2,0.72727791,6.808349469999999e-07,1.0
Mpc2,1,14,5.276712990000001,0.000508255666468835,0.967032967032967
Morf4l2,1,1,0.35139388,2.1147244e-11,0.0
Morf4l1,1,5,1.80268892,1.4262956260668502e-06,1.0
Zwint,1,93,37.597293309999976,0.058494462300010146,0.55890603085554
Minos1,1,2,0.73405176,3.1667416910000003e-06,1.0
Mid1ip1,1,2,0.7330557799999999,8.867777400000001e-07,1.0
Mff,1,6,2.26488753,0.00011413988494012999,1.0
Meg3,1,437,182.92606704999997,0.8659441519722237,0.10220855289400206
Mdh2,1,34,13.03404313,0.003208805112484595,0.9518716577540106
Mdh1,1,190,76.82605242000007,0.12745370766435765,0.2965190754664439
Mbnl2,1,12,4.54816366,0.0013824203434179123,0.8787878787878788
Asrgl1,1,5,1.99621285,0.0003275016585,1.0
Mat2a,1,2,0.71102109,4.567890074e-08,1.0
Atp5a1,1,72,28.450820419999996,0.019326684433675804,0.7398278560250391
App,1,140,55.701823379999986,0.059931946763703066,0.4410071942446043
Tubb2a,1,20,7.6989383600000005,0.0010373670611011408,0.9473684210526315
Nap1l2,1,1,0.35503718,3.6066123e-09,0.0
St13,1,14,5.3882020100000005,0.000630581144568,0.989010989010989
Stip1,1,9,3.3487254200000005,0.00011283825297765,1.0
Aldoa,1,70,27.38844904000002,0.009119232310194287,0.782608695652174
Stmn3,1,162,65.71380367999998,0.10942675817876961,0.3857832988267771
Strn3,1,1,0.3554224,4.84303e-09,0.0
Ssx2ip,1,3,1.08364897,3.4816194500000003e-07,1.0
Stub1,1,5,1.8793810400000002,9.012325953097121e-05,1.0
Sucla2,1,8,2.96482819,5.556659975900001e-05,1.0
Suclg1,1,11,4.147345770000001,0.00017880113348530004,1.0
Sult4a1,1,2,0.7261559399999999,1.1827814841e-06,1.0
Sv2a,1,4,1.47183078,1.1435531366e-05,1.0
Syn2,1,19,7.2905947399999995,0.0007653318997274982,0.9649122807017544
Syp,1,20,7.861466600000001,0.0021073180757438035,0.9526315789473685
Sub1,1,10,3.77511382,0.00021855596258946,0.9777777777777779
Ssb,1,50,19.404774350000004,0.005308779616422655,0.8595918367346939
Nap1l5,1,327,136.21531840999995,0.5745266479154135,0.14510046715821467
Napb,1,48,18.47604984,0.0039406961820363,0.824468085106383
Snca,1,2,0.70766477,2.5082638499999998e-09,1.0
Sncb,1,11,4.25286954,0.00039967129148,0.9454545454545455
Snhg11,1,281,114.78700778999995,0.40721870386494435,0.18703609557702083
Ahsa1,1,3,1.0728997,1.1655638457e-07,1.0
Snrpn,1,56,21.963280330000003,0.010396322666478565,0.8116883116883118
Snx10,1,21,8.06497223,0.0008557791894268499,0.9380952380952381
Sod1,1,21,7.9830188600000005,0.0005664281227880461,0.9619047619047618
Sorl1,1,16,6.1223847,0.0007177281954775255,0.7416666666666667
Nceh1,1,1,0.36824667,6.209864e-07,0.0
Spock2,1,48,18.42231172,0.0047760445587303,0.7695035460992907
Sqstm1,1,3,1.0813433000000001,4.502545076e-07,1.0
Srpk2,1,25,9.47988214,0.0005246356298722299,0.9766666666666667
Nars,1,14,5.36434824,0.00037370466479303376,1.0
Srsf2,1,7,2.66566177,0.00020567025490627003,1.0
Napg,1,7,2.55197545,1.8806273535747796e-05,1.0
Syt1,1,145,59.25130826000002,0.12361283489212554,0.35095785440613025
Syt11,1,58,22.659668439999997,0.01040604045741267,0.822141560798548
Syt4,1,7,2.6330031700000003,6.5092860477e-05,1.0
Myo5a,1,19,7.21177039,0.0004260803251163999,0.9883040935672516
Tpm3,1,6,2.22740337,5.321725285115501e-05,1.0
Mt3,1,23,8.764171739999998,0.0005057691553002,0.9169960474308301
Tprgl,1,1,0.36336634,1.7881206e-07,0.0
Trim2,1,7,2.55970172,3.531256638619797e-05,1.0
Msi2,1,5,1.85047159,1.6348868067e-05,1.0
Tsn,1,12,4.434830430000001,4.3011097753e-05,1.0
Tspan7,1,65,25.37653101000001,0.010956408702625693,0.7004807692307692
Tspyl4,1,34,13.22109592,0.003029656561725663,0.9411764705882353
Ttc3,1,246,101.68178761000006,0.29731368992145896,0.21994358719097393
Ttll7,1,4,1.4966481299999999,2.093314282e-05,1.0
Ttyh1,1,75,29.583899840000015,0.018630260417447597,0.6144144144144145
Tuba1a,1,56,21.856655309999994,0.007206748060990497,0.7512987012987012
Tuba1b,1,34,13.182077790000001,0.0028065276153079353,0.9447415329768271
Tuba4a,1,9,3.3702552699999995,4.543283846004e-05,1.0
Aplp2,1,19,7.22942748,0.0008486697875369299,0.9824561403508772
Tpi1,1,27,10.217940300000002,0.0009026690402956573,0.9686609686609687
Tubb3,1,16,5.982098589999999,0.00026418766513735,0.975
Top1,1,6,2.19866267,1.6743733736398647e-05,1.0
Tmx4,1,25,9.532971830000001,0.0021927919934404774,0.9666666666666667
Tax1bp1,1,106,42.59406842,0.044354591923847775,0.5572327044025157
Tcaf1,1,1,0.37068504,1.0255875e-06,0.0
Tceb2,1,9,3.32067742,1.61024767839e-05,1.0
Myh10,1,2,0.72845044,2.4176337142e-06,1.0
Tcf25,1,166,66.02677442999997,0.07145179968872828,0.3637824023366192
Myeov2,1,1,0.35357416,9.142056e-10,0.0
Tecr,1,12,4.532390900000001,0.00043056846051659305,0.9242424242424242
Thoc7,1,1,0.36134502,9.2804484e-08,0.0
Timp3,1,2,0.70594921,6.897876002383803e-09,0.0
Tmed10,1,10,3.7084911999999997,3.2559397318e-05,1.0
Tmem234,1,3,1.07104474,1.221977945e-07,1.0
Tmem256,1,1,0.37205783,1.326166e-06,0.0
Tmem30a,1,39,14.983310970000002,0.004565315289285916,0.921727395411606
Tmod2,1,1,0.3847347,8.154562e-06,0.0
Tmx2,1,2,0.73153465,7.281706900000001e-07,1.0
Tonsl,1,1,0.3508816,3.3842087e-12,0.0
Atp5b,1,168,68.04820501000002,0.10817052278612896,0.3575705731394354
Atp5c1,1,70,26.91736642,0.009055703529420518,0.7312629399585922
Atp5d,1,7,2.56869632,5.2263955085775e-05,1.0
Dync1i2,1,7,2.5772436599999997,2.09666840405e-05,0.9523809523809524
Dtd1,1,2,0.70898214,3.3559276492177e-08,1.0
Dnm1l,1,23,8.93298634,0.001225328771497893,0.9960474308300395
Dnajc8,1,15,5.588140460000001,0.0001517533642075623,1.0
Dnajc7,1,1,0.35107833,7.574699e-12,0.0
Dnaja1,1,21,7.875706710000001,0.00034682637323112396,0.9952380952380953
Dynll2,1,123,49.48205994,0.06320064868048934,0.5091296814607491
Cacybp,1,14,5.420307060000001,0.0014837870107485,0.978021978021978
Calm1,1,446,188.8919656500001,0.8257345588659563,0.10084143699299641
Calm2,1,388,161.01068117999995,0.5243981692152833,0.12724100269053518
Dgkg,1,1,0.36593938,3.616037e-07,0.0
Calr,1,11,4.13048889,0.00025898684788643663,1.0
Ddx24,1,18,6.8715956700000005,0.0009179806488566799,0.9738562091503269
Cyc1,1,9,3.3030325900000004,1.9670491021659e-05,1.0
